id,publish_date,channel,caption,status,image_url,linkedin_actor_urn,facebook_page_id,instagram_business_account_id
2026-07-07-lead-followup-himani-linkedin,2026-07-07,linkedin_profile,"Most businesses do not need more leads first. They need fewer leads falling through the cracks after the first reply.

A clean follow-up system gives every inquiry an owner, stage, source, and next action.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-company-linkedin,2026-07-07,linkedin_company,"Leads should not depend on memory. Emergent Logic connects form fills, CRM records, routing, tasks, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-facebook,2026-07-07,facebook,"Leads should not depend on memory. Emergent Logic connects form fills, CRM records, routing, tasks, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_square.png,,,
2026-07-07-lead-followup-instagram,2026-07-07,instagram,The form is not the finish line. It is the handoff point.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-07_lead-followup_portrait.png,,,
2026-07-08-crm-cleanup-himani-linkedin,2026-07-08,linkedin_profile,"Automation only works when the data underneath it is trustworthy.

If lifecycle stages, owners, duplicates, and source fields are messy, speed becomes noise.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-company-linkedin,2026-07-08,linkedin_company,"CRM cleanup helps teams trust the system before adding more workflows, dashboards, or campaigns.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-facebook,2026-07-08,facebook,"CRM cleanup helps teams trust the system before adding more workflows, dashboards, or campaigns.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_square.png,,,
2026-07-08-crm-cleanup-instagram,2026-07-08,instagram,Clean first. Automate second. Scale third.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-08_crm-cleanup_portrait.png,,,
2026-07-09-hubspot-workflows-himani-linkedin,2026-07-09,linkedin_profile,"HubSpot makes workflows easy to create. That is powerful, and also risky.

Old enrollment rules, duplicate automations, and stale lists can quietly break follow-up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-company-linkedin,2026-07-09,linkedin_company,"We help teams audit HubSpot workflows, lifecycle logic, forms, lists, and handoffs so automation stays reliable.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-facebook,2026-07-09,facebook,"We help teams audit HubSpot workflows, lifecycle logic, forms, lists, and handoffs so automation stays reliable.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_square.png,,,
2026-07-09-hubspot-workflows-instagram,2026-07-09,instagram,"If nobody can explain the workflow, it is time to clean it up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-09_hubspot-workflows_portrait.png,,,
2026-07-10-salesforce-admin-himani-linkedin,2026-07-10,linkedin_profile,"Salesforce usually does not break in one big moment.

It gets harder to trust through small changes nobody had time to clean up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-company-linkedin,2026-07-10,linkedin_company,"Emergent Logic supports Salesforce cleanup, admin support, reporting hygiene, and safe automation improvements.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-facebook,2026-07-10,facebook,"Emergent Logic supports Salesforce cleanup, admin support, reporting hygiene, and safe automation improvements.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_square.png,,,
2026-07-10-salesforce-admin-instagram,2026-07-10,instagram,Your CRM should not feel like a mystery box.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-10_salesforce-admin_portrait.png,,,
2026-07-13-website-to-crm-himani-linkedin,2026-07-13,linkedin_profile,"The website can look professional and still lose revenue if the inquiry lands in an inbox with no owner or next step.

The handoff matters.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-13_website-to-crm_square.png,,,
2026-07-13-website-to-crm-company-linkedin,2026-07-13,linkedin_company,"We build lead capture paths that connect website forms to CRM records, owners, notifications, and follow-up tasks.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-13_website-to-crm_square.png,,,
2026-07-13-website-to-crm-facebook,2026-07-13,facebook,"We build lead capture paths that connect website forms to CRM records, owners, notifications, and follow-up tasks.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-13_website-to-crm_square.png,,,
2026-07-13-website-to-crm-instagram,2026-07-13,instagram,Pretty website. Clear handoff. Better follow-up.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-13_website-to-crm_portrait.png,,,
2026-07-14-speed-to-lead-himani-linkedin,2026-07-14,linkedin_profile,"Responding faster is not only about motivation.

It is about whether the system tells the right person what happened, what to do, and when to follow up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-14_speed-to-lead_square.png,,,
2026-07-14-speed-to-lead-company-linkedin,2026-07-14,linkedin_company,"Emergent Logic helps teams reduce response delays with routing, notifications, task creation, and CRM visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-14_speed-to-lead_square.png,,,
2026-07-14-speed-to-lead-facebook,2026-07-14,facebook,"Emergent Logic helps teams reduce response delays with routing, notifications, task creation, and CRM visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-14_speed-to-lead_square.png,,,
2026-07-14-speed-to-lead-instagram,2026-07-14,instagram,The first reply should not depend on someone checking an inbox.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-14_speed-to-lead_portrait.png,,,
2026-07-15-old-leads-himani-linkedin,2026-07-15,linkedin_profile,"A stale pipeline is often full of people who showed interest once but never got a proper follow-up path.

Before buying more leads, review what already exists.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-15_old-leads_square.png,,,
2026-07-15-old-leads-company-linkedin,2026-07-15,linkedin_company,"We help teams clean stale pipelines, identify warm opportunities, and rebuild simple follow-up sequences.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-15_old-leads_square.png,,,
2026-07-15-old-leads-facebook,2026-07-15,facebook,"We help teams clean stale pipelines, identify warm opportunities, and rebuild simple follow-up sequences.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-15_old-leads_square.png,,,
2026-07-15-old-leads-instagram,2026-07-15,instagram,Some revenue is already sitting in the CRM.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-15_old-leads_portrait.png,,,
2026-07-16-source-tracking-himani-linkedin,2026-07-16,linkedin_profile,"When every lead source becomes Other, Website, or Unknown, reporting stops being useful.

Marketing cannot improve what the CRM cannot explain.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-16_source-tracking_square.png,,,
2026-07-16-source-tracking-company-linkedin,2026-07-16,linkedin_company,"We clean source fields, campaign capture, lifecycle stages, and reporting views so teams can trust the numbers.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-16_source-tracking_square.png,,,
2026-07-16-source-tracking-facebook,2026-07-16,facebook,"We clean source fields, campaign capture, lifecycle stages, and reporting views so teams can trust the numbers.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-16_source-tracking_square.png,,,
2026-07-16-source-tracking-instagram,2026-07-16,instagram,Bad source data makes good marketing look random.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-16_source-tracking_portrait.png,,,
2026-07-17-handoff-himani-linkedin,2026-07-17,linkedin_profile,"A lead handoff should not be a Slack message, a memory, or a spreadsheet row nobody owns.

The CRM should carry the context forward.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-17_handoff_square.png,,,
2026-07-17-handoff-company-linkedin,2026-07-17,linkedin_company,"Emergent Logic improves MQL to SQL routing, owner assignment, task creation, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-17_handoff_square.png,,,
2026-07-17-handoff-facebook,2026-07-17,facebook,"Emergent Logic improves MQL to SQL routing, owner assignment, task creation, and follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-17_handoff_square.png,,,
2026-07-17-handoff-instagram,2026-07-17,instagram,A better handoff creates fewer dropped leads.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-17_handoff_portrait.png,,,
2026-07-20-ai-automation-himani-linkedin,2026-07-20,linkedin_profile,"AI automation is not magic dust.

It works best when the intake, decision rules, ownership, and exceptions are clear first.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-20_ai-automation_square.png,,,
2026-07-20-ai-automation-company-linkedin,2026-07-20,linkedin_company,"We design practical AI-assisted workflows for lead follow-up, admin tasks, routing, and response drafts.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-20_ai-automation_square.png,,,
2026-07-20-ai-automation-facebook,2026-07-20,facebook,"We design practical AI-assisted workflows for lead follow-up, admin tasks, routing, and response drafts.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-20_ai-automation_square.png,,,
2026-07-20-ai-automation-instagram,2026-07-20,instagram,"AI should reduce busywork, not create mystery.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-20_ai-automation_portrait.png,,,
2026-07-21-calendar-bookings-himani-linkedin,2026-07-21,linkedin_profile,"For service businesses, the booking gap is expensive.

A faster response, reminder, and next-step workflow can recover opportunities already coming in.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-21_calendar-bookings_square.png,,,
2026-07-21-calendar-bookings-company-linkedin,2026-07-21,linkedin_company,"We build simple booking and follow-up systems that connect forms, calendars, reminders, and CRM notes.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-21_calendar-bookings_square.png,,,
2026-07-21-calendar-bookings-facebook,2026-07-21,facebook,"We build simple booking and follow-up systems that connect forms, calendars, reminders, and CRM notes.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-21_calendar-bookings_square.png,,,
2026-07-21-calendar-bookings-instagram,2026-07-21,instagram,The appointment is won in the follow-up.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-21_calendar-bookings_portrait.png,,,
2026-07-22-crm-audit-himani-linkedin,2026-07-22,linkedin_profile,"The best audit is practical.

What is broken, what matters, what to fix first, and what not to automate yet.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-22_crm-audit_square.png,,,
2026-07-22-crm-audit-company-linkedin,2026-07-22,linkedin_company,"Emergent Logic audits CRM setup, data quality, workflows, lead routing, reporting, and follow-up gaps.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-22_crm-audit_square.png,,,
2026-07-22-crm-audit-facebook,2026-07-22,facebook,"Emergent Logic audits CRM setup, data quality, workflows, lead routing, reporting, and follow-up gaps.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-22_crm-audit_square.png,,,
2026-07-22-crm-audit-instagram,2026-07-22,instagram,Audit for action. Not documentation theatre.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-22_crm-audit_portrait.png,,,
2026-07-23-property-management-himani-linkedin,2026-07-23,linkedin_profile,"Property teams often receive different types of requests through the same contact layer.

The CRM should separate the path before follow-up becomes messy.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-23_property-management_square.png,,,
2026-07-23-property-management-company-linkedin,2026-07-23,linkedin_company,"We help property teams route inquiries by request type, owner, urgency, and next action.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-23_property-management_square.png,,,
2026-07-23-property-management-facebook,2026-07-23,facebook,"We help property teams route inquiries by request type, owner, urgency, and next action.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-23_property-management_square.png,,,
2026-07-23-property-management-instagram,2026-07-23,instagram,Different inquiry types need different workflows.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-23_property-management_portrait.png,,,
2026-07-24-immigration-crm-himani-linkedin,2026-07-24,linkedin_profile,"Immigration firms often handle high-trust, high-detail inquiries.

If the intake path is not clear, response time and context suffer.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-24_immigration-crm_square.png,,,
2026-07-24-immigration-crm-company-linkedin,2026-07-24,linkedin_company,"We support consultation intake, CRM routing, reminders, and simple follow-up systems for professional services.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-24_immigration-crm_square.png,,,
2026-07-24-immigration-crm-facebook,2026-07-24,facebook,"We support consultation intake, CRM routing, reminders, and simple follow-up systems for professional services.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-24_immigration-crm_square.png,,,
2026-07-24-immigration-crm-instagram,2026-07-24,instagram,High-trust inquiries deserve a clean process.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-24_immigration-crm_portrait.png,,,
2026-07-27-real-estate-teams-himani-linkedin,2026-07-27,linkedin_profile,"Real estate teams lose opportunities when only hot leads get tracked.

Warm buyers, sellers, and valuation requests need a visible follow-up path.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-27_real-estate-teams_square.png,,,
2026-07-27-real-estate-teams-company-linkedin,2026-07-27,linkedin_company,"Emergent Logic helps real estate teams improve lead routing, CRM cleanup, and long-cycle follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-27_real-estate-teams_square.png,,,
2026-07-27-real-estate-teams-facebook,2026-07-27,facebook,"Emergent Logic helps real estate teams improve lead routing, CRM cleanup, and long-cycle follow-up visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-27_real-estate-teams_square.png,,,
2026-07-27-real-estate-teams-instagram,2026-07-27,instagram,The future client is often already in the database.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-27_real-estate-teams_portrait.png,,,
2026-07-28-dashboard-trust-himani-linkedin,2026-07-28,linkedin_profile,"If the team does not trust the CRM fields, they will not trust the dashboard.

Reporting work starts with the records underneath.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-28_dashboard-trust_square.png,,,
2026-07-28-dashboard-trust-company-linkedin,2026-07-28,linkedin_company,"We improve CRM reporting by cleaning properties, stages, owners, lifecycle logic, and source capture.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-28_dashboard-trust_square.png,,,
2026-07-28-dashboard-trust-facebook,2026-07-28,facebook,"We improve CRM reporting by cleaning properties, stages, owners, lifecycle logic, and source capture.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-28_dashboard-trust_square.png,,,
2026-07-28-dashboard-trust-instagram,2026-07-28,instagram,Better dashboards begin before the chart.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-28_dashboard-trust_portrait.png,,,
2026-07-29-followup-rules-himani-linkedin,2026-07-29,linkedin_profile,"A simple rule beats an ambitious system nobody uses.

Who owns it? When is follow-up due? What happens after no reply?",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-29_followup-rules_square.png,,,
2026-07-29-followup-rules-company-linkedin,2026-07-29,linkedin_company,"We help teams define and implement practical follow-up rules inside HubSpot, Salesforce, and connected workflows.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-29_followup-rules_square.png,,,
2026-07-29-followup-rules-facebook,2026-07-29,facebook,"We help teams define and implement practical follow-up rules inside HubSpot, Salesforce, and connected workflows.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-29_followup-rules_square.png,,,
2026-07-29-followup-rules-instagram,2026-07-29,instagram,Simple rules create consistent revenue motion.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-29_followup-rules_portrait.png,,,
2026-07-30-integration-risk-himani-linkedin,2026-07-30,linkedin_profile,"A useful integration removes duplicate entry and makes the next action clearer.

A bad one just moves confusion between tools.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-30_integration-risk_square.png,,,
2026-07-30-integration-risk-company-linkedin,2026-07-30,linkedin_company,"Emergent Logic connects forms, calendars, spreadsheets, inboxes, and CRMs with clean ownership and visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-30_integration-risk_square.png,,,
2026-07-30-integration-risk-facebook,2026-07-30,facebook,"Emergent Logic connects forms, calendars, spreadsheets, inboxes, and CRMs with clean ownership and visibility.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-30_integration-risk_square.png,,,
2026-07-30-integration-risk-instagram,2026-07-30,instagram,Connect the tools around the process.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-30_integration-risk_portrait.png,,,
2026-07-31-founder-operator-himani-linkedin,2026-07-31,linkedin_profile,"The tempting answer is usually another tool.

But many teams need a clearer path for the work they already have: capture, route, own, follow up, report.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-31_founder-operator_square.png,,,
2026-07-31-founder-operator-company-linkedin,2026-07-31,linkedin_company,"Emergent Logic helps businesses improve the systems behind sales, marketing, CRM, and lead follow-up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-31_founder-operator_square.png,,,
2026-07-31-founder-operator-facebook,2026-07-31,facebook,"Emergent Logic helps businesses improve the systems behind sales, marketing, CRM, and lead follow-up.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-31_founder-operator_square.png,,,
2026-07-31-founder-operator-instagram,2026-07-31,instagram,Software helps only when the process is legible.,draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-07-31_founder-operator_portrait.png,,,
2026-08-03-monthly-close-himani-linkedin,2026-08-03,linkedin_profile,"Traffic, ads, SEO, and outreach all create pressure.

If follow-up is weak, more volume just creates more leakage.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-08-03_monthly-close_square.png,,,
2026-08-03-monthly-close-company-linkedin,2026-08-03,linkedin_company,"We build CRM and automation systems that help teams capture, route, follow up, and report with more confidence.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-08-03_monthly-close_square.png,,,
2026-08-03-monthly-close-facebook,2026-08-03,facebook,"We build CRM and automation systems that help teams capture, route, follow up, and report with more confidence.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-08-03_monthly-close_square.png,,,
2026-08-03-monthly-close-instagram,2026-08-03,instagram,"Scale the system, not just the top of funnel.",draft,https://www.emergent-logic.ca/social-assets/monthly-2026-07/2026-08-03_monthly-close_portrait.png,,,
